fromId	keyId	targetId	steps
112789	3982	6426	7
287509	641600	641666	7
492765	586111	586117	5
775677	967403	970485	6
775677	808844	810428	6
775677	153143	153643	7
725014	822696	823465	5
287509	685899	689707	4
729877	227436	227622	4
287509	265255	265451	7
144882	138145	138649	9
492765	72966	73035	7
725014	753940	754708	6
279676	409759	410762	8
417178	132315	132507	8
279676	895691	896184	6
287509	521627	522408	4
287509	8193	8260	7
725014	928241	928818	5
921600	482098	483867	5
417178	857352	857686	6
725014	421417	422017	7
831164	471809	472226	6
144882	581075	581096	6
282081	651595	652401	6
367026	583297	583792	5
614587	576887	578227	7
725014	202018	202941	3
282081	141401	142046	9
921600	363894	365538	6
417178	630272	630770	5
831164	724896	725014	7
729877	9410	9550	6
282081	686065	689707	5
200968	922164	923615	7
144882	88839	89563	6
116529	948774	949586	5
279676	779078	779494	8
282081	301300	302484	4
186266	140827	142046	9
367026	443522	444077	4
144882	797656	798431	7
282081	60142	60418	5
921600	643877	643898	7
492765	530029	531849	4
279676	798624	804403	7
154949	561602	562262	5
775677	499380	499381	7
154949	228515	228625	4
154949	877822	877936	6
116529	848978	851350	6
112789	841280	844119	6
279676	995005	995910	6
729877	620700	622093	6
725014	173177	175354	6
367026	946823	947266	6
242338	519629	519666	4
279676	755812	757484	7
729877	607333	607571	4
729877	68230	68873	8
242338	221112	221165	8
154949	63703	64312	8
116529	181999	182109	6
831164	574622	578227	4
200968	592685	596578	7
492765	819497	821616	6
287509	728124	728810	6
282081	242299	242338	8
492765	293877	294083	6
831164	759747	760889	7
921600	792997	794879	10
242338	962956	964417	9
154949	490176	492765	4
725014	41696	42551	5
725014	767540	767555	3
287509	386868	387499	7
116529	1005062	1005439	8
775677	12829	13330	5
614587	864933	865765	6
287509	660546	662550	7
775677	159836	160878	6
279676	675816	676138	4
154949	402617	403237	7
492765	122893	123198	6
144882	512160	512353	6
831164	890969	892206	4
831164	44422	45960	6
116529	347695	348360	7
186266	305103	306790	4
242338	310416	312091	4
242338	878685	880570	7
367026	887184	887900	9
614587	12414	13330	5
279676	168992	170646	9
921600	439689	440160	6
367026	553892	553941	5
831164	373580	374625	8
729877	338482	339686	4
614587	284259	285454	7
775677	749382	749409	6
492765	767270	767555	3
242338	273353	274989	4
242338	860018	860219	5
725014	341755	341916	4
112789	201341	201347	5
186266	757833	760889	5
144882	673479	673538	3
831164	443834	444077	6
492765	424110	424541	8
614587	858583	859840	6
492765	478567	479954	8
116529	59260	60418	6
492765	759553	760889	2
282081	348702	348855	2
729877	618428	620202	6
282081	989265	989899	7
144882	303463	304639	4
200968	684158	684785	7
831164	200916	200968	7
154949	721288	722433	5
609284	283554	285454	5
279676	741432	741908	5
154949	593132	596578	7
614587	995158	995910	6
492765	63686	64312	7
287509	940724	942126	7
921600	456181	457146	7
775677	416669	417178	6
614587	411518	411540	6
279676	549439	549972	4
112789	537886	538118	6
200968	541395	542285	5
186266	935883	935927	8
242338	1001132	1001727	5
112789	396401	397329	3
417178	225497	225618	5
609284	498794	499381	6
282081	822915	823465	5
186266	571959	572536	8
282081	568944	569401	5
287509	133796	134778	7
921600	1005488	1009650	4
200968	349405	349547	3
282081	921929	923615	6
417178	698303	700300	5
112789	158855	158919	4
287509	1007026	1009650	6
725014	41886	42551	5
144882	709485	711452	6
112789	552922	553941	5
144882	375215	375278	6
492765	936119	936425	7
367026	668613	669267	6
112789	107316	108812	10
725014	982638	983382	6
116529	718380	719330	4
492765	1007618	1009650	7
112789	649416	650149	4
921600	400317	402288	3
279676	988038	989899	7
242338	767324	767555	7
609284	448077	448841	8
775677	284594	285454	6
775677	684915	689707	7
242338	467959	470575	6
492765	512451	512923	3
144882	514495	515586	7
609284	865537	865765	7
609284	800829	804403	5
609284	270791	271014	7
242338	553062	553941	5
729877	849648	851350	4
492765	517907	518531	4
200968	186785	191401	10
200968	722474	723648	7
112789	280478	281017	5
112789	612169	614437	7
242338	761270	762060	8
116529	770678	771016	9
186266	377348	377357	6
144882	36553	40539	7
282081	167559	168232	6
200968	693414	694184	7
144882	900875	905962	7
775677	150192	152478	6
729877	677555	678535	7
287509	320926	321189	6
729877	169632	170646	8
729877	640124	640125	7
287509	757986	760889	6
186266	845545	847382	3
417178	146463	147889	9
775677	841324	844119	6
921600	58928	60418	5
921600	220447	221072	5
492765	402638	403237	7
367026	1013299	1015557	6
