fromId	keyId	targetId	steps
795643	382811	384020	6
295322	971031	971568	4
120973	355660	362361	5
295322	297051	297053	3
570729	718710	723885	4
459728	823396	832914	5
459728	932828	935474	5
290089	510194	510737	5
395099	968810	970573	5
122311	619093	622483	4
290089	937938	946226	5
459728	557108	557757	4
660040	654353	656889	8
295322	347746	353215	3
166944	457730	459728	4
120973	783926	784188	5
295322	608223	622483	3
388734	323585	324098	6
911023	1046775	1046937	2
122311	661331	664545	3
316047	281328	290089	6
388734	838676	850709	5
316047	645717	651414	5
395099	623346	626749	4
570729	68393	69193	5
122311	641849	645478	6
660040	700905	701720	4
699962	832104	832914	5
395099	519473	526024	4
316047	448679	451433	5
120973	683944	684796	3
295322	615754	622483	3
120973	260926	268449	3
388734	235871	241257	6
295322	439981	443678	3
660040	46288	46752	5
120973	932054	935474	4
120973	931677	935474	4
166944	461078	469614	4
166944	502256	504401	4
454176	518413	526024	4
69193	243464	256055	5
69193	955286	956814	6
911023	182463	186759	4
699962	261922	268449	4
388734	205196	209562	5
459728	835963	850709	5
911023	514748	526024	6
660040	626301	626749	5
122311	443487	443678	4
699962	578321	582296	8
459728	442100	443678	6
316047	623059	626749	3
69193	536839	538797	6
120973	712447	712718	6
122311	433256	443678	4
395099	286819	290089	5
660040	374614	378940	6
795643	370263	378940	5
660040	1046854	1046937	6
120973	182423	186759	3
316047	132248	132698	6
454176	866223	866880	4
295322	953729	954057	5
295322	358568	362361	3
290089	632098	632517	5
388734	941545	946226	3
459728	306015	312041	7
699962	889855	890575	5
166944	399641	406932	7
795643	30865	35840	4
459728	546234	547931	5
69193	65060	66168	7
454176	27044	27990	5
570729	945509	946226	5
122311	142280	143826	3
295322	142540	143826	6
122311	634788	636286	5
69193	28576	29773	6
166944	37408	42737	7
388734	243456	256055	7
911023	483842	488176	5
120973	813539	814289	6
699962	757495	757521	3
316047	343616	345865	2
316047	64958	66168	7
388734	470807	471160	3
166944	587058	599551	4
795643	835027	850709	3
316047	759398	762027	5
122311	550549	553326	4
316047	6792	9670	4
454176	252063	256055	6
388734	725214	735897	4
660040	299149	302429	6
570729	901400	909646	5
69193	377177	378940	4
166944	316699	316872	3
316047	18076	23649	6
388734	27785	27990	5
120973	247939	256055	5
388734	383939	384020	8
122311	326104	326142	4
166944	362027	362361	4
395099	790182	795643	6
122311	521913	526024	6
395099	159184	166944	4
316047	339723	339851	3
316047	219590	220662	5
388734	234634	241257	6
699962	108427	120973	6
459728	472698	488176	3
454176	996580	999544	4
911023	433124	443678	4
120973	413972	421331	3
699962	548742	553326	5
454176	513239	526024	4
69193	251025	256055	5
69193	217498	217949	3
660040	7278	9670	6
459728	921232	922804	5
395099	146533	147889	4
570729	981124	983914	5
316047	830843	832914	7
316047	644448	645478	5
120973	84403	88054	6
454176	928973	929847	5
290089	411306	421331	4
660040	393875	395099	7
290089	178059	178971	5
459728	701999	704886	5
660040	928284	929847	2
660040	1014993	1015507	4
316047	198483	198901	7
290089	101272	103010	4
69193	70579	81771	1
660040	193413	198901	4
69193	605356	622483	2
911023	999003	999544	4
388734	214139	217949	5
699962	332767	339851	5
570729	732704	735897	3
388734	807578	809290	5
69193	774900	784188	6
795643	655576	656889	7
570729	966000	966487	5
388734	1041713	1042652	6
795643	122692	124567	5
120973	330205	339851	4
69193	916900	918067	5
122311	91601	92293	6
911023	985252	988005	2
699962	911117	911994	4
660040	867472	867529	3
290089	189830	198901	6
316047	796111	796425	5
120973	947456	953685	4
295322	666799	673134	6
454176	953429	953685	6
120973	372936	378940	5
699962	61754	63426	4
459728	940233	946226	4
570729	259816	268449	5
166944	518020	526024	5
69193	553065	553326	5
699962	905058	909646	5
316047	630571	632517	5
699962	582149	582296	8
166944	346608	353215	4
699962	5815	9670	4
660040	747762	751709	3
166944	68383	69193	8
388734	103503	103611	5
660040	863355	866880	5
911023	92545	93505	5
295322	286835	290089	7
570729	472628	488176	6
911023	729594	735897	5
290089	269729	274550	6
120973	201356	209562	4
295322	299118	302429	2
660040	403234	406932	7
122311	481235	488176	4
395099	957970	966487	3
395099	984412	988005	5
69193	393590	395099	5
69193	997911	999544	8
911023	188461	189169	4
120973	191537	198901	3
166944	1021584	1021855	7
570729	378430	378940	6
122311	923057	929847	4
570729	351909	353215	4
699962	456710	459728	4
120973	769028	784188	5
459728	771239	784188	5
570729	830477	832914	6
69193	133088	133816	5
120973	642178	645478	6
699962	303892	312041	6
166944	297593	298370	8
316047	788998	795643	5
290089	936799	946226	5
290089	834166	834190	4
316047	911350	911994	5
295322	986505	988005	4
699962	662623	664545	6
795643	57960	59313	4
290089	164016	166944	7
911023	121981	122311	5
660040	19325	23649	4
69193	627334	630261	5
395099	897406	909646	6
660040	956828	966487	3
166944	188361	189169	2
122311	681451	684796	5
570729	295820	296618	6
69193	461498	469614	6
454176	54491	59313	5
911023	286669	290089	4
459728	909765	911023	4
570729	783188	784188	6
660040	741943	745855	4
795643	513813	526024	6
295322	330295	339851	4
388734	87636	88054	5
388734	417387	421331	2
395099	690613	692754	4
122311	807527	809290	5
911023	552262	553326	4
660040	887294	889048	6
388734	388785	391489	1
660040	1016808	1017079	5
911023	19975	23649	4
911023	538164	538797	4
316047	861619	866880	3
388734	430605	432651	3
295322	508772	510737	4
290089	81472	81771	5
120973	939458	946226	5
69193	367937	378940	4
290089	714100	716791	5
69193	5167	9670	6
290089	1003650	1011948	5
166944	72292	81771	6
570729	746839	751709	4
120973	518935	526024	6
166944	553010	553326	5
795643	384422	386603	5
570729	904387	909646	5
699962	486728	488176	5
388734	221258	222607	6
388734	97246	103010	6
166944	547006	547931	6
295322	736077	738198	4
911023	778085	784188	7
69193	466950	469614	6
699962	250316	256055	5
570729	859468	866880	4
699962	298595	302429	5
166944	123253	124567	6
388734	133024	133816	3
459728	592159	599551	4
120973	333187	339851	4
122311	857595	866880	5
699962	370170	378940	6
120973	947141	953685	4
795643	59078	59313	4
166944	861214	866880	5
120973	880870	883686	6
795643	643559	645478	6
388734	147953	155494	5
