fromId	keyId	targetId	steps
168232	222467	222975	5
618091	613474	614437	9
155606	124559	125371	8
211368	78538	81421	8
589565	344480	345676	6
168232	262953	264035	6
617117	653228	654597	4
641274	275729	277634	5
547526	41221	41679	4
102123	986244	986431	7
547526	840669	844119	6
667499	71807	73035	7
547526	670281	670763	6
381101	425436	425631	3
617117	564886	569401	8
211368	667230	667260	7
641274	1037387	1039150	7
102123	411771	413052	6
168232	794695	794879	8
211368	545361	545659	5
618091	984884	985974	6
211368	6362	6426	6
381101	244960	245695	8
155606	902935	905962	6
211368	834318	834327	7
520011	641642	641666	6
6426	375611	375967	7
381101	984813	984829	5
131811	96586	96936	7
641274	272636	273352	6
308333	111387	111713	7
520011	1031744	1032148	7
547526	986740	986862	6
67471	475686	476042	6
618091	476097	477345	9
667499	410030	410762	4
786042	357002	359864	7
131811	79847	81421	7
102123	908114	908793	4
589565	370759	371634	6
381101	467736	470575	4
139146	567281	569401	8
155606	297220	297663	3
308333	691822	693182	6
197477	994530	995910	4
667499	608677	608892	6
6426	374245	374625	6
641274	758551	760889	6
168232	645160	646173	7
787094	633608	634784	7
197477	203612	204141	2
641274	18822	21304	5
618091	604620	607123	7
787094	787616	788853	1
667499	650823	652401	8
618091	613329	614437	9
102123	483902	484818	5
67471	806261	806794	6
139146	137831	138649	8
667499	541539	542285	5
6426	912895	913121	7
168232	204542	205624	3
381101	309853	310033	8
102123	165240	166042	6
197477	457610	457935	7
520011	962515	964417	7
786042	766393	767555	7
211368	908078	908793	5
155606	143469	144882	7
618091	832168	832999	6
197477	873617	873920	5
589565	589247	589565	1
155606	55523	55604	6
641274	517918	518531	6
641274	744139	744681	4
102123	239355	239497	4
168232	610470	611271	7
617117	479130	479954	7
155606	714372	715133	5
381101	495160	495341	5
102123	596293	596578	7
787094	277740	279676	4
589565	678111	678535	5
197477	27986	28048	7
641274	1041705	1042618	4
667499	231653	231678	7
197477	837114	837261	7
547526	3243	3790	6
589565	803759	804403	4
168232	763146	765735	5
139146	605237	607123	4
787094	305911	306790	5
786042	263412	264035	9
67471	281580	281657	6
520011	800451	804403	5
139146	621798	622093	6
67471	957376	958104	5
667499	829994	830743	6
6426	357737	359864	5
787094	585096	586117	7
211368	896246	896278	6
617117	360294	361500	5
547526	91721	91946	8
589565	777106	777465	6
197477	824998	825407	5
6426	452928	453862	8
67471	773182	774028	7
617117	109667	110457	5
667499	250691	253625	6
618091	963734	964417	6
131811	578315	578665	5
786042	299272	299986	4
589565	5516	6426	5
641274	926225	926567	5
667499	958072	958104	4
381101	481417	481797	6
155606	532343	532626	7
155606	704420	706128	4
155606	606672	607123	5
155606	224645	225378	4
381101	821627	822005	5
67471	541067	542285	6
197477	466716	466721	3
641274	96050	96936	7
211368	98693	99099	6
667499	633392	633398	7
667499	532241	532626	8
617117	146290	147889	7
131811	255968	256243	6
6426	564790	569401	7
67471	592352	596578	2
381101	653019	653103	4
617117	232767	235296	6
131811	951750	952167	7
131811	835143	835390	8
641274	516720	518531	6
381101	913878	913882	6
589565	994076	994191	5
381101	631629	633318	6
786042	506913	507083	8
547526	175028	175354	6
667499	713704	715133	4
6426	704406	706128	5
67471	165184	166042	6
131811	935947	936425	4
102123	985043	985974	8
102123	67008	67471	10
617117	245559	245695	5
667499	1025185	1025369	6
155606	57731	57763	7
139146	675560	676138	4
520011	880361	880570	6
667499	22277	23146	4
667499	711671	712247	3
618091	133147	133308	5
131811	1044748	1044951	7
308333	437162	437421	6
139146	981097	983382	5
211368	729122	729877	9
131811	1001708	1001727	6
197477	510865	512353	6
589565	400106	402288	5
139146	974610	976853	7
131811	592488	596578	8
6426	230920	231248	5
787094	565289	569401	7
547526	243686	244119	6
197477	1033050	1035742	6
139146	221652	222181	5
139146	87226	89563	7
641274	817419	818271	5
641274	169689	170646	6
381101	918006	919539	5
641274	354229	354873	7
589565	631903	633318	4
102123	642729	643586	6
618091	636971	640125	3
589565	1006323	1009650	5
667499	510984	512353	7
381101	608281	608892	6
102123	728875	728973	5
786042	710268	711452	9
520011	155093	155559	6
520011	215917	216445	6
520011	886848	887900	5
102123	866571	866689	6
547526	971933	973996	5
547526	718559	719330	4
6426	884841	885022	8
667499	243191	243310	7
168232	765096	765735	5
641274	362759	363419	8
786042	755953	757484	8
6426	837258	837261	7
641274	859981	860219	5
617117	322726	322963	7
102123	512019	512353	6
