fromId	keyId	targetId	steps
292413	732783	735897	5
292413	719665	723885	5
93505	828173	832914	6
43211	410761	421331	5
93505	512644	526024	5
93505	693455	695199	5
1015507	827522	832914	6
178971	689425	692754	6
292413	723464	723885	5
379241	182289	186759	5
234027	126638	128901	5
234027	333173	339851	4
1015507	357164	362361	5
14645	964881	966487	6
651414	220065	220662	4
657956	303184	312041	5
562647	948850	953685	4
1015507	303797	312041	4
379241	816606	816783	6
651414	865179	866880	4
1015507	895815	895835	8
379241	677763	678188	5
379241	250665	256055	7
989380	57659	59313	4
234027	88307	92293	6
935474	413810	421331	6
988005	204576	209562	6
651414	477478	488176	6
379241	232530	233031	6
222607	315251	316047	4
379241	330232	339851	6
379241	112104	120973	7
1015507	1048072	3254	5
178971	535703	536622	5
234027	829929	832914	5
234027	726052	735897	6
93505	246969	256055	4
234027	729887	735897	6
14645	761755	762027	6
234027	707016	712718	5
292413	417763	421331	4
201015	449256	451433	5
379241	678167	678188	5
1015507	40719	42737	2
651414	380873	384020	7
379241	666187	673134	4
1015507	884780	885240	6
1015507	365975	367067	3
43211	326642	327295	5
201015	459085	459728	5
935474	225918	233031	3
562647	850495	850709	3
379241	304154	312041	7
562647	257076	258639	4
988005	1032791	1033367	4
234027	738692	745855	7
178971	897870	909646	5
379241	617909	622483	4
234027	943350	946226	5
989380	518704	526024	4
178971	26872	27990	6
43211	128250	128901	3
379241	123503	124567	7
43211	401819	406932	5
988005	403552	406932	6
201015	484609	488176	3
657956	42234	42737	5
935474	16712	23649	5
657956	936927	946226	3
201015	578241	582296	6
222607	575515	582296	4
222607	850061	850709	4
222607	667512	673134	6
935474	386841	388734	7
651414	397307	398011	4
201015	957768	966487	6
1015507	392666	395099	6
178971	964153	966487	6
651414	628848	630261	8
379241	122827	124567	7
201015	436078	443678	5
379241	779102	784188	5
43211	1041007	1041459	6
292413	465967	469614	3
989380	1042880	1046937	4
379241	291117	292413	5
234027	120746	120973	7
989380	291580	292413	4
43211	590244	599551	3
43211	50155	53726	2
43211	628578	630261	5
935474	634491	636286	5
14645	237480	241257	5
562647	518964	526024	5
93505	501555	504401	4
43211	9236	9670	6
988005	442389	443678	5
93505	537564	538797	5
651414	518054	526024	7
93505	872166	872396	6
292413	26457	27990	6
178971	633207	636286	5
989380	402240	406932	6
651414	84031	88054	5
657956	563037	569053	5
988005	505961	506717	4
14645	166292	166944	3
93505	656374	656889	5
178971	725307	735897	3
562647	490481	499676	5
222607	490755	499676	2
651414	276497	279258	4
562647	1017504	1018761	6
379241	1028998	1033367	6
234027	301047	302429	4
1015507	853369	854653	6
178971	846724	850709	5
988005	1022901	1026971	2
657956	885955	889048	6
379241	543365	547931	5
292413	365935	367067	3
651414	562741	569053	6
651414	758338	762027	4
651414	629155	630261	8
178971	67959	69193	7
201015	825086	832914	5
14645	384047	386603	5
93505	460372	469614	5
14645	938752	946226	4
657956	598464	599551	6
935474	757967	762027	5
234027	724745	735897	6
292413	1007637	1011948	6
201015	840775	850709	5
935474	520934	526024	5
989380	514873	526024	4
93505	237609	241257	3
562647	180154	186759	3
234027	165525	166944	5
657956	905973	909646	5
935474	628254	630261	6
562647	47750	53726	4
988005	656674	656889	6
93505	127698	128901	3
988005	721577	723885	6
935474	719606	723885	4
562647	63376	63426	3
989380	625190	626749	3
562647	432803	443678	6
1015507	260970	268449	4
201015	492619	499676	3
43211	911170	911994	5
93505	657083	657137	3
14645	408989	421331	6
14645	902984	909646	6
93505	457137	459728	5
562647	45664	46752	3
201015	84943	88054	6
14645	337200	339851	5
43211	437080	443678	5
234027	1006735	1011948	6
234027	56146	59313	5
379241	18103	23649	5
43211	778451	784188	7
234027	503814	504401	3
989380	588352	599551	5
201015	324740	326142	5
234027	637799	638171	4
292413	75420	81771	4
178971	420975	421331	5
292413	82550	88054	5
43211	41786	42737	7
562647	616277	622483	2
292413	461122	469614	3
93505	809876	814289	6
562647	781434	784188	4
43211	920255	922804	5
989380	918293	922804	6
14645	729841	735897	5
201015	867366	867529	5
562647	188863	189169	4
43211	210080	217949	4
292413	371739	378940	3
43211	177968	178971	5
14645	980727	983914	7
989380	447846	451433	6
379241	819060	832914	6
14645	1001657	1002425	7
562647	283580	290089	6
14645	300619	302429	4
657956	422481	425984	5
379241	405641	406932	3
43211	952765	953685	5
379241	614845	622483	4
562647	254917	256055	6
562647	63969	66168	4
