fromId	keyId	targetId	steps
896184	392936	394309	5
909414	695617	700300	7
173024	960152	960789	8
202941	273973	274989	3
379105	17106	21304	5
935927	1037717	1039150	4
173024	428970	429707	7
749409	896156	896184	5
202941	417603	418391	7
909414	756059	757484	7
173024	444988	445869	3
935927	553682	553941	5
935927	658064	658390	8
50882	69321	70085	3
1029343	926491	926567	9
50882	476031	476042	7
1029343	817777	818271	6
749409	313704	314036	5
671525	502331	502601	6
341916	813965	816250	5
935927	821478	821616	6
472226	764238	765735	6
909414	171120	171644	5
202941	491163	492765	4
909414	58439	58730	4
379105	972121	973996	6
935927	276840	277634	7
90093	114362	114607	5
961350	230238	230416	5
202941	538518	539124	5
472226	219993	221072	5
671525	974683	976853	5
202941	776047	776080	5
1029343	142112	142276	5
654959	332283	332707	5
202941	498406	498420	5
671525	4996	6426	6
671525	678411	678535	3
3790	958308	958776	6
90093	25345	27129	8
749409	886715	887900	4
654959	484255	484818	6
749409	88488	89563	6
935927	743392	743657	6
992878	843549	844119	8
202941	608546	608892	5
671525	711939	712247	3
1029343	870050	872105	7
671525	834731	834834	6
3790	642756	643586	7
992878	338534	339686	8
992878	1005891	1009650	3
896184	421485	422017	7
173024	358239	359864	5
671525	200219	200968	5
559477	780781	782147	6
50882	217690	218544	4
1026318	427339	427739	7
472226	497335	498420	3
3790	538033	538118	4
1026318	34565	35030	5
472226	445192	445869	9
379105	774735	775677	4
202941	854561	856857	8
359864	296536	297663	5
173024	303690	304639	6
90093	611161	611271	9
1026318	825122	825407	6
359864	547125	547526	5
749409	1040468	1040759	4
3790	842475	844119	7
992878	420156	420469	8
173024	349537	349547	5
992878	245727	245830	4
1026318	647390	647753	6
896184	729318	729877	8
896184	39076	40539	6
379105	343402	343402	7
173024	8223	8260	7
1029343	144926	145254	5
749409	83823	83976	7
1029343	455550	455820	8
341916	533144	533236	5
50882	423751	424541	6
992878	613468	614437	5
992878	6289	6426	5
202941	171517	171644	8
909414	312476	314036	7
379105	420119	420469	5
671525	421170	422017	5
173024	833287	833608	4
1026318	502886	503721	2
173024	138737	139146	8
896184	768227	768405	5
909414	1034776	1035742	5
935927	644748	646173	8
379105	588851	589154	4
173024	799944	804403	6
3790	426037	426107	6
559477	209134	210869	5
1026318	877585	877936	7
3790	417456	418391	6
935927	389515	391364	7
472226	397835	399305	7
671525	573752	578227	7
671525	960013	960789	6
749409	389414	391364	7
671525	32700	33249	6
379105	693854	694184	5
379105	603296	607123	5
671525	70446	71283	6
379105	216728	216883	7
90093	518071	518531	7
50882	874268	874911	4
1029343	78505	81421	5
173024	654414	654597	6
559477	796989	798431	6
654959	515265	515586	7
935927	348180	348360	8
1026318	946298	946651	7
359864	842306	844119	6
1026318	389973	391364	6
50882	89179	89563	3
50882	1029584	1029789	7
559477	552144	553941	8
749409	840247	840560	5
359864	780410	782147	6
341916	475708	476042	3
1026318	797607	798431	6
359864	918035	919539	6
90093	866501	866689	8
3790	202017	202941	4
379105	505395	505515	7
341916	308033	308324	10
654959	1031591	1032148	6
935927	830124	830743	7
3790	310665	312091	7
202941	786180	786315	6
909414	730917	732039	7
992878	604587	607123	7
654959	658902	658980	3
671525	503402	503721	7
1029343	563015	563176	7
896184	755534	757484	6
50882	274111	274989	6
909414	607023	607123	6
202941	224651	225378	5
3790	78363	81421	4
379105	62821	62907	6
3790	916609	917216	9
992878	350371	352020	5
909414	707788	711452	8
654959	889550	889666	5
992878	938487	939087	8
896184	473514	474019	5
90093	955488	957165	5
935927	228708	228914	6
909414	735239	737744	6
909414	547917	548225	6
654959	1016928	1016963	4
202941	785589	785971	6
909414	702339	703408	7
3790	821676	822005	5
472226	180342	180469	8
1026318	728783	728810	6
341916	669686	670082	6
1029343	384515	385773	5
749409	267009	267886	6
896184	128489	131196	3
1029343	284907	285454	5
559477	450586	450931	6
909414	923624	924455	3
896184	163654	163718	4
90093	236868	237647	4
341916	450268	450931	4
3790	727672	728027	7
961350	630398	630770	6
50882	244736	245695	6
379105	506387	506410	6
173024	346376	346653	5
671525	960392	960789	6
173024	175414	176813	2
359864	508871	509906	5
935927	889491	889666	7
1029343	691151	691286	6
90093	528770	528802	7
992878	83305	83976	4
341916	347852	348360	2
50882	373319	374625	7
379105	107674	108812	9
379105	450926	450931	3
1026318	124891	125371	4
992878	850586	851350	7
559477	83306	83976	5
1029343	841386	844119	6
654959	520965	521198	9
992878	531990	532626	6
