fromId	keyId	targetId	steps
329404	794047	794879	6
230416	703048	703408	7
294455	548080	548225	6
255675	397068	397329	4
719330	203508	204141	3
207609	221466	222181	4
476042	962581	964417	7
448841	884913	885022	7
719330	925570	926567	7
329404	962360	964417	5
264035	831362	832999	5
329404	394244	394309	6
153643	341316	341916	6
153643	641559	641666	8
264035	759191	760889	5
944455	543748	545171	7
255675	887486	887900	6
329404	153632	153643	7
966144	219721	221072	5
1042618	1004166	1005439	9
844119	311527	312091	9
944455	233396	235296	6
476042	469093	470575	8
397329	632155	633318	5
397329	547148	547526	4
664483	939914	942126	5
664483	771755	772294	5
893659	171213	171644	6
264035	852959	853058	7
329404	1031375	1032148	7
397329	540054	542285	4
294455	661754	662550	7
409102	407980	408160	9
893659	506816	507083	6
264035	291087	293288	4
294455	767102	767555	5
476042	125590	126237	6
255675	998196	1000187	6
966144	1046446	1048499	5
230416	217923	218544	8
719330	616318	617117	6
944455	1010809	1012464	5
893659	1000464	1001727	4
743096	397923	399305	7
893659	674146	674512	7
294455	715672	715899	5
255675	788338	788853	6
844119	736068	737744	6
409102	637841	640125	6
944455	240902	241047	5
476042	289584	290401	8
893659	456236	457146	6
448841	380476	381101	8
966144	821573	821616	7
664483	259507	260029	7
230416	165945	166042	9
409102	720980	722433	6
719330	1043018	1044272	6
230416	207761	208458	7
743096	336264	337304	7
230416	824389	825407	4
664483	116067	116529	7
741908	796226	798431	5
741908	809471	810428	3
409102	173458	175354	5
397329	572504	572536	6
448841	427050	427739	9
719330	171744	172078	7
893659	220618	221072	6
207609	319476	319775	6
966144	133044	133308	7
448841	148696	149122	7
230416	304120	304639	4
448841	999929	1000187	5
255675	79574	81421	6
294455	768484	768902	7
844119	699827	700300	7
1042618	946907	947266	6
153643	549483	549972	4
664483	119968	120046	7
207609	519013	519666	5
743096	793455	794879	6
448841	162634	163718	6
230416	88379	89563	7
944455	563765	569401	6
966144	503593	503721	5
329404	284903	285454	7
264035	542197	542285	4
397329	539794	542285	4
719330	807494	807542	5
153643	335620	337304	5
255675	971477	973996	6
741908	542677	543118	6
966144	92051	92257	5
743096	744688	744961	2
743096	360678	361500	5
944455	587111	587390	7
207609	682508	683826	6
893659	616237	617117	6
264035	460584	461652	7
1042618	883326	885022	9
1042618	369073	370171	7
255675	387999	388514	2
664483	826474	827146	6
230416	336768	337304	5
1042618	917510	917619	5
944455	573891	578227	5
153643	455048	455336	5
893659	786937	786989	7
409102	404109	404809	9
448841	870922	872105	5
329404	639682	640125	5
944455	791614	791933	7
294455	665441	665442	7
476042	917181	917216	6
264035	1008708	1009650	6
664483	482907	483867	6
207609	212253	212676	3
743096	502483	502601	6
476042	197750	197817	7
230416	138335	138649	7
329404	199760	200968	5
944455	821574	821616	5
741908	411979	413052	7
294455	98409	99099	7
476042	822904	823465	6
294455	999617	1000187	7
741908	834149	834327	4
966144	279490	279676	6
255675	528731	528802	5
664483	219734	221072	5
966144	852403	852858	7
476042	292038	293288	6
409102	289551	290401	6
966144	1041694	1042618	3
153643	109612	110457	8
966144	504577	505515	7
294455	745709	746357	8
264035	967350	970485	6
255675	749909	750208	5
255675	966936	970485	6
230416	331006	332157	4
264035	190241	191401	8
294455	124867	125371	5
329404	817263	818271	7
743096	580248	581096	7
844119	285967	287175	7
664483	725414	727116	5
264035	991962	992036	6
153643	263481	264035	5
264035	235918	237647	6
409102	694364	694821	4
743096	312583	314036	6
397329	47902	48391	5
207609	801264	804403	3
294455	416419	417178	5
448841	322731	322963	9
741908	833897	834327	4
264035	316327	319165	4
743096	777718	778081	3
1042618	854035	856857	5
893659	740701	741908	7
448841	972601	973996	7
893659	562921	563176	8
743096	154451	154949	7
944455	863669	863975	8
397329	1007484	1009650	5
1042618	1022248	1023379	7
448841	520373	521198	3
397329	392767	394309	8
741908	631530	633318	5
264035	144678	144882	7
966144	447433	448841	4
153643	81168	81421	7
664483	247024	247089	6
329404	323131	323492	9
1042618	633859	634784	7
476042	242348	243146	7
153643	183031	184815	4
1042618	443006	443284	7
743096	139212	140443	8
844119	79388	81421	4
409102	812105	816250	5
294455	848568	851350	4
448841	863769	863975	5
207609	671530	671638	8
944455	438243	438344	5
719330	296041	296126	7
664483	209311	210869	4
255675	511932	512353	7
329404	810679	810740	6
329404	908675	908793	5
844119	768028	768040	6
207609	143343	144882	6
207609	885622	885717	6
476042	792124	792224	6
397329	712912	713093	4
