fromId	keyId	targetId	steps
598015	105874	106778	6
598244	576997	578227	7
598244	879857	880570	4
1023379	52206	53455	4
375278	229531	229784	9
271014	177753	177863	6
598244	473314	473349	6
1000187	264098	264473	6
927250	117498	117730	7
120046	360297	361500	7
1023379	1043101	1044272	3
120046	125874	126237	2
743657	253291	253625	5
1044951	92577	92829	5
531849	402003	402288	8
268996	673824	674512	6
1023379	56575	57763	4
680935	332974	337304	7
807477	367989	367995	6
546016	872377	873236	6
598244	602158	607123	2
838284	313715	314036	8
375278	4646	6426	5
598015	627053	627076	4
598015	565118	569401	10
271014	206309	207609	8
120046	748278	749409	5
375278	481561	481797	5
559871	783238	783276	6
271014	979090	979430	6
375278	747749	749409	6
531849	256948	257272	9
598015	119049	119730	5
531849	444162	445869	6
838284	739610	741908	8
598015	673326	673373	3
546016	200184	200968	5
1024057	427072	427739	7
743657	887769	887900	4
1023379	156505	157920	6
1000187	451524	451797	7
120046	133028	133308	4
743657	629087	629887	7
807477	456466	457146	7
271014	52976	53455	6
271014	594793	596578	6
531849	390971	391364	7
271014	86664	87060	5
375278	1046515	1048499	6
1044951	673750	674512	6
598015	671365	671525	5
700385	336177	337304	5
598015	630934	630942	5
1023379	896172	896184	6
927250	362760	363419	7
546016	355394	356213	5
743657	66823	67471	5
559871	823804	825407	2
680935	827075	827146	5
546016	807374	807477	7
598244	188783	191401	7
375278	358706	359864	8
927250	1027377	1028002	3
559871	919212	919539	6
268996	720428	722433	6
700385	924614	924989	6
120046	852416	852858	7
120046	371573	371634	7
786989	483795	483867	6
1023379	796940	798431	5
1000187	792636	794879	8
598015	488063	492765	5
700385	897748	899487	6
743657	905997	907033	4
1044951	425274	425631	4
927250	735362	737744	5
743657	644437	646173	7
598244	153796	154949	5
743657	393353	394309	6
1024057	988647	989899	8
546016	103302	103942	6
546016	286715	287175	4
1023379	311821	312091	6
838284	477897	479954	6
927250	114201	114607	6
598015	677323	678535	5
1044951	829381	830743	7
531849	692673	693182	6
838284	974825	976853	4
1000187	839346	839684	9
531849	710819	711452	6
598015	473136	473237	6
743657	254192	254307	5
807477	890856	892206	3
838284	497023	497083	8
838284	935300	935927	6
786989	233981	235296	9
1044951	172635	173024	5
680935	986409	986431	5
700385	618251	620202	7
598244	410046	410762	6
546016	736983	737744	5
598015	875942	876946	5
120046	720106	722433	5
700385	842777	844119	5
680935	269512	269522	7
700385	487799	492765	6
546016	903079	905962	6
807477	643346	643586	8
598015	494358	495042	7
598244	971459	973996	5
120046	826563	827146	7
531849	796375	798431	3
120046	191255	191401	3
786989	780120	780277	8
546016	146254	147889	8
838284	511020	512353	8
375278	821528	821616	6
786989	962811	964417	4
807477	735126	737744	7
268996	410678	410762	6
598244	820116	821616	5
1044951	931896	932103	6
1000187	395357	397329	6
120046	583644	583792	7
546016	501199	502601	8
120046	632574	633318	8
1024057	932678	933667	7
120046	977080	979430	5
375278	484646	484818	4
1023379	882028	882133	7
120046	361493	361500	7
838284	86224	87060	6
1000187	131170	131196	5
559871	55989	57763	4
546016	741050	741908	7
1044951	905380	905962	8
807477	805735	806794	8
271014	484029	484818	5
531849	991746	991799	7
807477	663762	664483	8
807477	398674	399305	7
1044951	768040	768040	8
838284	526002	526807	7
680935	66494	67471	5
271014	565229	569401	7
1024057	430979	431308	7
807477	156690	157920	5
700385	510689	512353	6
120046	452042	453862	5
598244	129939	131196	4
1044951	593656	596578	5
531849	140320	140443	9
927250	98641	99099	5
927250	550682	551130	6
268996	973782	973996	5
838284	664426	664483	6
838284	687581	689707	7
680935	1021373	1023379	4
268996	644198	646173	7
546016	271969	273352	7
559871	213917	215323	7
807477	307131	307880	4
1000187	960847	960974	7
559871	682478	683826	7
120046	376062	376922	7
838284	13817	15228	6
807477	925027	925168	5
598244	511180	512353	7
268996	1037827	1039150	7
375278	890030	892206	6
1024057	437000	437421	7
807477	269650	271014	8
743657	131801	131811	5
120046	490397	492765	5
531849	148472	149122	6
680935	672942	673373	9
1023379	917700	919539	7
786989	451428	451797	6
680935	658520	658980	8
271014	871934	872105	4
546016	765521	765735	6
598244	774554	775677	6
1044951	341966	343402	5
268996	572300	572536	6
927250	734108	737744	5
786989	816051	816250	4
838284	79592	81421	5
1023379	372767	374625	5
531849	395105	397329	8
598244	313864	314036	6
598244	260017	260029	7
786989	728816	728973	6
120046	918669	919539	5
1024057	824411	825407	6
786989	574258	578227	6
546016	75305	76091	7
