fromId	keyId	targetId	steps
96384	192353	198901	4
274550	1020761	1021855	7
539092	911020	911023	4
96384	763061	784188	5
659452	161182	166944	3
854653	1018481	1018761	5
665004	248141	256055	6
640779	895487	895835	6
854653	674772	678188	5
909646	556402	557757	5
796780	286181	290089	3
96384	97894	103010	1
665004	838207	850709	4
854653	869312	869340	3
96384	755748	757521	3
539092	445490	451433	6
877556	310788	312041	5
539092	375995	378940	5
147889	415154	421331	6
877556	461078	469614	5
622483	853734	854653	5
561601	437623	443678	6
854653	131230	132698	5
640779	496287	499676	5
640779	313378	316047	6
851942	628518	630261	5
909646	472455	488176	4
640779	179478	186759	4
539092	873770	877556	4
851942	872258	872396	2
168450	1024931	1026971	6
851942	80060	81771	3
909646	671747	673134	6
851942	946414	953685	4
665004	300425	302429	6
622483	941938	946226	4
168450	449927	451433	4
877556	557975	560952	6
909646	937151	946226	3
854653	976413	983914	5
96384	938580	946226	5
96384	650616	651414	4
659452	581833	582296	6
539092	178859	178971	5
877556	431552	432651	3
622483	555855	557757	6
640779	234584	241257	6
640779	881998	883686	5
659452	1010906	1011948	5
539092	998770	999544	7
168450	312187	312801	3
659452	917587	918067	5
133816	22366	23649	5
640779	859025	866880	4
147889	681382	684796	4
665004	775358	784188	5
147889	180423	186759	3
640779	938613	946226	4
147889	680632	684796	4
622483	409821	421331	4
96384	915627	918067	5
796780	209011	209562	6
96384	951377	953685	6
851942	590900	599551	6
909646	845057	850709	6
796780	20752	23649	3
622483	365324	365807	7
877556	429691	432651	3
851942	220333	220662	4
539092	1032805	1033367	7
539092	1041426	1041459	7
877556	581743	582296	6
168450	863854	866880	5
147889	438129	443678	3
133816	553183	553326	4
96384	748220	751709	5
622483	461772	469614	6
640779	882282	883686	5
909646	431061	432651	5
909646	180958	186759	4
168450	235765	241257	2
133816	385164	386603	5
909646	513937	526024	6
539092	271339	274550	6
640779	270723	274550	4
877556	500906	504401	4
854653	971471	971568	5
659452	914849	918067	5
96384	1013514	1015507	6
133816	820695	832914	5
796780	13936	14645	2
133816	879709	883686	5
622483	299653	302429	7
877556	150134	155494	4
659452	442783	443678	5
877556	717610	718544	6
796780	887310	889048	5
133816	1022136	1026971	6
665004	290066	290089	4
561601	385338	386603	5
133816	320816	322183	7
133816	211813	217949	3
274550	594057	599551	4
909646	544685	547931	6
909646	280934	290089	5
133816	599437	599551	5
877556	828092	832914	7
96384	313431	316047	5
851942	358737	362361	3
665004	743433	745855	4
274550	437132	443678	4
96384	501628	504401	4
665004	777431	784188	5
133816	211646	217949	3
133816	235048	241257	3
133816	150398	155494	3
133816	286647	290089	3
622483	577981	582296	7
96384	106797	107420	3
96384	34093	35840	8
851942	940320	946226	3
796780	148499	155494	4
854653	665515	673134	6
133816	1029646	1033367	6
909646	617626	622483	4
796780	356371	362361	4
640779	983218	983914	6
539092	326500	327295	5
274550	734575	735897	5
147889	852304	854653	5
133816	788084	795643	5
909646	848060	850709	6
274550	581881	582296	4
796780	537398	538797	6
665004	937010	946226	3
796780	430368	432651	5
665004	553497	557757	6
877556	988094	989380	4
168450	95777	96384	7
851942	311988	312041	6
539092	51292	53726	5
274550	57448	59313	5
