fromId	keyId	targetId	steps
993477	315399	316047	5
993477	881718	883686	5
627261	517464	526024	6
885240	634684	636286	4
88054	992539	993477	6
885240	662095	664545	4
241827	1015553	1016541	7
1002425	193414	198901	4
674281	822826	832914	3
918067	353632	362361	5
946226	885117	885240	6
946226	944936	946226	1
363268	381941	384020	3
198901	455377	459728	5
1042652	777548	784188	7
993477	618844	622483	5
198901	835160	850709	5
993477	399198	406932	6
627261	221137	222607	6
946226	613581	622483	4
363268	337980	339851	7
674281	136005	140009	7
1002425	336831	339851	5
946226	32057	35840	2
674281	989935	993477	4
88054	376827	378940	4
946226	995531	999544	4
833614	443161	443678	5
674281	477187	488176	5
88054	346767	353215	5
627261	211308	217949	4
198901	446409	451433	5
312041	47601	53726	7
946226	1037033	1041459	5
363268	681968	684796	5
241827	118746	120973	6
993477	436556	443678	5
657137	389166	391489	6
885240	89055	92293	5
674281	111674	120973	6
1002425	805373	807381	6
627261	152466	155494	4
1042652	331755	339851	4
885240	844348	850709	6
1042652	378089	378940	5
627261	264660	268449	4
312041	655459	656889	5
885240	884858	885240	1
946226	153402	155494	5
833614	909371	909646	4
885240	292686	295322	5
657137	394840	395099	7
198901	690543	692754	4
993477	584602	599551	5
993477	697377	699962	5
999544	1010625	1011948	2
999544	328054	339851	5
833614	944311	946226	4
657137	49041	53726	6
88054	550302	553326	5
674281	24699	26260	5
885240	1011164	1011948	5
88054	476241	488176	5
999544	891952	895835	6
312041	246972	256055	7
833614	1034534	1041459	4
918067	714520	716791	5
1002425	268269	268449	4
88054	873993	877556	6
241827	651484	652344	5
312041	705713	712718	7
657137	334124	339851	6
1002425	99298	103010	3
312041	317496	318030	2
363268	612254	622483	4
1002425	831447	832914	6
657137	806866	807381	3
674281	985472	988005	3
833614	448266	451433	4
674281	382132	384020	7
885240	725884	735897	6
999544	74598	81771	4
1042652	587767	599551	4
833614	607911	622483	4
999544	610118	622483	4
885240	50137	53726	5
999544	584387	599551	5
1042652	1020097	1021855	7
674281	837308	850709	4
1002425	485396	488176	6
946226	960360	966487	2
657137	451290	451433	6
999544	444086	444269	5
885240	984865	988005	4
833614	420343	421331	5
833614	494504	499676	4
88054	127710	128901	3
657137	470517	471160	4
312041	173485	178971	6
993477	750783	751709	4
999544	1046208	1046937	3
627261	524435	526024	6
1042652	107197	107420	5
833614	859172	866880	3
241827	114290	120973	6
312041	839095	850709	6
918067	353295	362361	5
657137	651523	652344	7
674281	987710	988005	3
833614	520861	526024	4
241827	69872	81771	5
1042652	449466	451433	6
627261	585423	599551	6
999544	460842	469614	6
1042652	982835	983914	7
918067	550965	553326	4
88054	598883	599551	6
918067	279903	290089	4
946226	710637	712718	6
918067	259226	268449	6
993477	1002830	1011948	2
993477	851334	851942	5
198901	831778	832914	5
918067	81737	81771	3
885240	162810	166944	4
657137	724724	735897	2
993477	605044	622483	5
999544	798024	801576	6
241827	701043	701720	8
1042652	133728	133816	3
88054	868046	869340	6
241827	1033796	1034108	7
1002425	866120	866880	6
241827	671534	673134	6
241827	831672	832914	5
241827	606927	622483	4
1002425	182411	186759	4
241827	766444	784188	8
918067	33747	35840	5
885240	495271	499676	5
198901	704827	704886	6
1042652	333226	339851	4
833614	26770	27990	5
885240	535781	536622	4
627261	900117	909646	3
999544	213969	217949	5
1002425	1039171	1041459	4
999544	586583	599551	5
627261	366992	367067	3
674281	299109	302429	4
946226	374549	378940	5
946226	19806	23649	5
1042652	225740	233031	5
198901	725468	735897	2
88054	225609	233031	3
312041	127271	128901	6
1002425	375434	378940	5
312041	803419	807381	5
999544	190226	198901	4
198901	695436	697154	6
885240	241404	241827	3
363268	678592	680555	4
946226	188370	189169	3
885240	336773	339851	6
885240	572147	573391	5
885240	435951	443678	4
999544	327129	327295	5
833614	754275	755496	6
1042652	854036	854653	6
627261	622701	626749	6
918067	384358	386603	6
1002425	41039	42737	3
657137	959213	966487	3
674281	435224	443678	4
1042652	301644	302429	5
363268	1010465	1011948	5
674281	163577	166944	2
1042652	498515	499676	5
363268	426077	428988	4
312041	64014	66168	7
627261	491336	499676	6
312041	360687	362361	3
999544	864975	866880	6
885240	648891	651414	4
1042652	869660	872396	5
918067	992942	993477	3
1002425	694601	695199	6
627261	713334	716791	3
674281	352477	353215	5
1002425	865307	866880	6
999544	1042540	1042652	3
1042652	791836	795643	7
1042652	440167	443678	5
674281	45491	46752	5
918067	844930	850709	6
993477	842643	850709	6
363268	52807	53726	6
241827	55225	59313	5
657137	609388	622483	5
674281	256335	258639	4
198901	748373	751709	3
946226	698488	699962	4
999544	694491	695199	6
88054	389072	391489	4
1002425	789036	795643	4
993477	867414	867529	6
312041	412528	421331	4
993477	803029	807381	4
657137	512652	526024	6
885240	608140	622483	5
993477	286646	290089	3
1042652	793754	795643	7
918067	985140	988005	2
657137	321169	322183	8
657137	102162	103010	6
312041	22566	23649	6
363268	769332	784188	4
198901	260058	268449	4
241827	381302	384020	4
198901	76352	81771	7
833614	192556	198901	4
946226	924216	929847	7
833614	661476	664545	7
918067	150746	155494	4
833614	205822	209562	5
241827	1018949	1021855	6
833614	470612	471160	4
674281	992669	993477	4
999544	648483	651414	5
1002425	249083	256055	4
88054	57205	59313	6
363268	926936	929847	3
993477	506902	508012	4
88054	471265	488176	5
627261	675471	678188	4
999544	541524	547931	6
657137	10514	12269	3
885240	298544	302429	7
1002425	160532	166944	3
657137	437404	443678	5
627261	128981	129836	4
999544	634575	636286	4
241827	542026	547931	4
627261	853898	854653	5
833614	615117	622483	4
312041	930793	935474	4
918067	514479	526024	5
1002425	120384	120973	4
833614	218970	220662	5
999544	1038562	1041459	3
674281	397412	398011	5
657137	502679	504401	7
1042652	896237	909646	6
88054	127876	128901	3
657137	31408	35840	5
833614	253186	256055	6
88054	441087	443678	4
946226	843220	850709	5
198901	975576	983914	7
657137	179987	186759	4
198901	576666	582296	6
198901	523008	526024	4
833614	7957	9670	4
833614	1041098	1041459	4
657137	520619	526024	6
999544	784858	786767	4
999544	141962	143826	5
88054	534739	536622	6
1042652	592628	599551	4
833614	474528	488176	5
833614	992021	993477	4
918067	313735	316047	6
885240	327713	339851	6
198901	710833	712718	7
